;D;Precision
0.51,0.45452000000000065;0.51;0.45452000000000065
0.52,0.4685799999999995;0.52;0.4685799999999995
0.53,0.47325000000000045;0.53;0.47325000000000045
0.54,0.48390999999999956;0.54;0.48390999999999956
0.55,0.4951699999999996;0.55;0.4951699999999996
0.56,0.5106900000000002;0.56;0.5106900000000002
0.5700000000000001,0.5144300000000003;0.5700000000000001;0.5144300000000003
0.5800000000000001,0.527359999999999;0.5800000000000001;0.527359999999999
0.59,0.5399399999999993;0.59;0.5399399999999993
0.6,0.5478999999999997;0.6;0.5478999999999997
0.61,0.5575399999999999;0.61;0.5575399999999999
0.62,0.5674199999999998;0.62;0.5674199999999998
0.63,0.5775300000000001;0.63;0.5775300000000001
0.64,0.5894900000000003;0.64;0.5894900000000003
0.65,0.5986100000000001;0.65;0.5986100000000001
0.66,0.6107899999999992;0.66;0.6107899999999992
0.67,0.6209000000000003;0.67;0.6209000000000003
0.68,0.6265999999999999;0.68;0.6265999999999999
0.6900000000000001,0.6418299999999991;0.6900000000000001;0.6418299999999991
0.7000000000000001,0.6504800000000008;0.7000000000000001;0.6504800000000008
0.7100000000000001,0.6614600000000012;0.7100000000000001;0.6614600000000012
0.72,0.6729400000000006;0.72;0.6729400000000006
0.73,0.6827000000000003;0.73;0.6827000000000003
0.74,0.6974300000000002;0.74;0.6974300000000002
0.75,0.7061399999999998;0.75;0.7061399999999998
0.76,0.71513;0.76;0.71513
0.77,0.7273300000000006;0.77;0.7273300000000006
0.78,0.7390199999999999;0.78;0.7390199999999999
0.79,0.74917;0.79;0.74917
0.8,0.7622399999999997;0.8;0.7622399999999997
0.81,0.7714399999999977;0.81;0.7714399999999977
0.8200000000000001,0.7803800000000004;0.8200000000000001;0.7803800000000004
0.8300000000000001,0.7905999999999987;0.8300000000000001;0.7905999999999987
0.8400000000000001,0.7977799999999998;0.8400000000000001;0.7977799999999998
0.85,0.8135099999999991;0.85;0.8135099999999991
0.86,0.8240399999999994;0.86;0.8240399999999994
0.87,0.8346299999999993;0.87;0.8346299999999993
0.88,0.8436599999999995;0.88;0.8436599999999995
0.89,0.8601800000000005;0.89;0.8601800000000005
0.9,0.8689099999999998;0.9;0.8689099999999998
0.91,0.8779599999999984;0.91;0.8779599999999984
0.92,0.8884499999999995;0.92;0.8884499999999995
0.93,0.9016600000000013;0.93;0.9016600000000013
0.9400000000000001,0.9151000000000011;0.9400000000000001;0.9151000000000011
0.9500000000000001,0.9284800000000047;0.9500000000000001;0.9284800000000047
0.9600000000000001,0.9404900000000048;0.9600000000000001;0.9404900000000048
0.97,0.9522400000000075;0.97;0.9522400000000075
0.98,0.968090000000009;0.98;0.968090000000009
0.99,0.9812300000000083;0.99;0.9812300000000083
1.0,1.0;1.0;1.0
